BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, InlineBackupTime(ms), OfflineBackupTime(ms)
47, 127.658, 3.77756, 3.147, 505661440, 2448304221, 2351362844, 189.004, 73.3317, 7.99466, 71.228, 1702.44, 
48, 132.601, 3.69552, 3.15819, 513832960, 2475797981, 2377432978, 185.008, 75.6108, 8.12312, 63.881, 1866.82, 
49, 124.935, 4.50365, 3.1851, 589998080, 2534253229, 2440877555, 175.615, 77.6109, 8.1537, 100.68, 1599.23, 
50, 97.1892, 6.99736, 3.25985, 713103360, 2710862008, 2648055543, 146.386, 78.9594, 7.78506, 183.986, 2719.52, 
51, 122.09, 5.6419, 3.30566, 722278400, 2780563703, 2715786763, 105.789, 79.4754, 7.85686, 128.785, 2372.65, 
52, 124.203, 5.9871, 3.35625, 779735040, 2874963564, 2793242716, 121.955, 80.2769, 7.91814, 148.084, 1168.68, 
53, 130.258, 5.98916, 3.40501, 818032640, 2957439390, 2858623023, 138.714, 81.359, 8.02321, 143.577, 1293.04, 
54, 134.379, 5.85536, 3.44956, 825057280, 3039032192, 2929330050, 160.042, 82.7896, 8.1112, 129.358, 1601.79, 
55, 132.569, 6.00217, 3.49514, 834355200, 3119865505, 2996704632, 174.053, 84.4193, 8.20726, 134.757, 1736.33, 
56, 131.367, 6.06861, 3.54029, 835942400, 3183456748, 3061787960, 175.002, 86.0085, 8.30583, 152.012, 1841.79, 
57, 132.902, 5.98324, 3.58241, 833812480, 3246675601, 3128180646, 170.338, 87.4625, 8.39609, 142.313, 1702.79, 
58, 135.66, 5.83434, 3.62058, 829931520, 3315122324, 3190646077, 183.665, 89.093, 8.49183, 157.04, 1628.2, 
59, 136.107, 5.88198, 3.65827, 839464960, 3378964657, 3256961495, 191.881, 90.8062, 8.57667, 118.97, 1784.51, 
60, 123.543, 4.6002, 3.67371, 595927040, 3419382372, 3304353598, 216.527, 92.8672, 8.63401, 91.47, 2106.1, 
61, 134.447, 6.06316, 3.71225, 854773760, 3501625118, 3373349701, 209.885, 94.7545, 8.7108, 127.56, 5486.01, 
62, 123.368, 4.8775, 3.73075, 630958080, 3538205160, 3422932063, 230.434, 96.9082, 8.76896, 102.489, 2720.78, 
63, 124.512, 4.90837, 3.74915, 640839680, 3579652091, 3467486280, 248.552, 99.2776, 8.8411, 96.038, 3287.54, 
64, 124.892, 4.95083, 3.76763, 648355840, 3629441637, 3513113817, 259.772, 101.747, 8.91083, 96.877, 2689.11, 
65, 130.712, 4.80116, 3.78329, 658053120, 3673330153, 3553901031, 265.456, 104.227, 8.99372, 114.103, 3084.22, 
66, 129.957, 4.88888, 3.7998, 666204160, 3719518752, 3599121736, 278.835, 106.833, 9.06582, 111.579, 3153.32, 
67, 131.021, 4.92756, 3.81638, 676976640, 3760505149, 3636914266, 275.319, 109.311, 9.15776, 108.001, 3050.93, 
68, 130.137, 5.03429, 3.83403, 686970880, 3798523228, 3675454599, 287.18, 111.889, 9.24864, 135.115, 2913.51, 
69, 137.697, 4.81753, 3.84808, 695582720, 3834021000, 3706433444, 300.179, 114.579, 9.35901, 96.092, 3421.14, 
70, 138.665, 5.93741, 3.87751, 863303680, 3908310320, 3799670371, 249.265, 116.476, 9.35656, 139.522, 3045.55, 
71, 105.456, 9.21737, 3.95167, 1019248640, 4137112165, 4087009805, 160.042, 117.081, 8.94813, 298.771, 4953.2, 
72, 135.227, 7.50533, 4.00035, 1064222720, 4231566246, 4163434931, 101.125, 116.862, 9.03948, 175.66, 3519.62, 
73, 147.182, 6.93524, 4.04001, 1070325760, 4315353430, 4229576986, 122.245, 116.935, 9.15118, 168.286, 1154.57, 
74, 143.632, 7.24917, 4.0828, 1091788800, 4423005753, 4301207694, 155.242, 117.446, 9.25262, 189.286, 2019.14, 
75, 136.176, 6.10443, 4.1094, 871659520, 4502756348, 4344091798, 272.76, 119.489, 9.36193, 157.544, 1782.63, 
76, 135.504, 6.13169, 4.13567, 871229440, 4542762525, 4438444977, 243.502, 121.1, 9.3592, 152.743, 5822.48, 
77, 140.688, 6.1912, 4.16202, 913336320, 4629154119, 4496596340, 243.258, 122.666, 9.44128, 148.708, 2822.32, 
78, 143.522, 6.23371, 4.18824, 938137600, 4690622621, 4549487377, 252.714, 124.312, 9.53773, 165.886, 2851.91, 
79, 144.302, 6.26317, 4.21418, 947691520, 4742820599, 4601843465, 253.451, 125.926, 9.63516, 159.211, 2621.15, 
80, 145.228, 6.2884, 4.23979, 957614080, 4791399660, 4647143630, 263.443, 127.624, 9.7473, 159.055, 2712.32, 
81, 147.345, 6.25089, 4.26431, 965775360, 4839101347, 4691708982, 277.233, 129.449, 9.86056, 135.27, 2755.26, 
82, 146.173, 6.4191, 4.29027, 983879680, 4888048751, 4738237548, 289.205, 131.373, 9.97138, 165.113, 2847, 
83, 133.102, 7.24394, 4.32544, 1011015680, 4968380241, 4944340270, 59.8737, 130.522, 9.7602, 221.57, 3018.07, 
84, 145.26, 6.69415, 4.3533, 1019627520, 5027354450, 5004541589, 24.6113, 129.276, 9.84653, 165.9, 2875.87, 
85, 163.836, 5.93094, 4.37165, 1018900480, 5044598157, 5030483972, 18.1213, 127.984, 9.9983, 168.617, 444.272, 
