BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio
0, 401.673, 20.3922, 20.3922, 8588886016, 629747814, 629747814, 0.055585, 0.055585, 13.6386
1, 657.666, 12.4546, 16.4234, 8588886016, 715376225, 715376225, 0.034003, 0.044794, 24.0122
2, 671.502, 12.198, 15.015, 8588886016, 795062199, 795062199, 0.042003, 0.0438637, 32.4084
3, 674.219, 12.1489, 14.2984, 8588886016, 874172438, 874172438, 0.060191, 0.0479455, 39.3006
4, 661.972, 12.3736, 13.9135, 8588886016, 971281749, 971281749, 0.066127, 0.0515818, 44.2142
5, 663.787, 12.3398, 13.6512, 8588886016, 1056552355, 1056552355, 0.068212, 0.0543535, 48.775
6, 654.179, 12.521, 13.4897, 8588886016, 1142242222, 1142242222, 0.069754, 0.0565536, 52.6352
7, 648.944, 12.6221, 13.3813, 8588886016, 1256123265, 1256123265, 0.07516, 0.0588794, 54.7009
8, 660.605, 12.3992, 13.2722, 8588886016, 1357538720, 1357538720, 0.076068, 0.0607892, 56.9413
9, 651.077, 12.5807, 13.203, 8588886016, 1448349186, 1448349186, 0.06719, 0.0614293, 59.3012
10, 655.805, 12.49, 13.1382, 8588886016, 1552517589, 1552517589, 0.078096, 0.0629445, 60.8545
11, 643.443, 12.73, 13.1042, 8588886016, 1654338546, 1654338546, 0.075977, 0.0640305, 62.3008
12, 608.922, 13.4516, 13.1309, 8588886016, 1760626039, 1760626039, 0.079058, 0.0651865, 63.4181
13, 638.248, 12.8336, 13.1097, 8588886016, 1864480774, 1864480774, 0.082079, 0.0663931, 64.4922
14, 629.474, 13.0125, 13.1032, 8588886016, 1987712738, 1987712738, 0.089556, 0.0679373, 64.8148
15, 642.569, 12.7473, 13.0809, 8588886016, 2094368458, 2094368458, 0.076524, 0.0684739, 65.6151
16, 609.382, 13.4415, 13.1022, 8588886016, 2247020901, 2247020901, 0.086584, 0.0695392, 64.9798
17, 601.97, 13.607, 13.1302, 8588886016, 2392902895, 2392902895, 0.073832, 0.0697777, 64.6077
18, 632.709, 12.9459, 13.1205, 8588886016, 2515086629, 2515086629, 0.091755, 0.0709344, 64.884
19, 596.547, 13.7307, 13.151, 8588886016, 2657810059, 2657810059, 0.093484, 0.0720619, 64.6313
20, 604.745, 13.5446, 13.1697, 8588886016, 2792069327, 2792069327, 0.078996, 0.0723921, 64.5996
21, 608.916, 13.4518, 13.1826, 8588886016, 2934625914, 2934625914, 0.081844, 0.0728217, 64.3883
22, 600.903, 13.6311, 13.2021, 8588886016, 3087907682, 3087907682, 0.081378, 0.0731937, 63.9735
23, 602.505, 13.5949, 13.2184, 8588886016, 3223741350, 3223741350, 0.077744, 0.0733833, 63.9422
24, 579.531, 14.1339, 13.2551, 8588886016, 3395641946, 3395641946, 0.084477, 0.0738271, 63.2346
25, 578.349, 14.1627, 13.29, 8588886016, 3562886867, 3562886867, 0.09232, 0.0745383, 62.677
26, 562.451, 14.5631, 13.3371, 8588886016, 3746027768, 3746027768, 0.091047, 0.0751498, 61.9056
27, 560.074, 14.6249, 13.3831, 8588886016, 3926382497, 3926382497, 0.086595, 0.0755585, 61.2495
28, 545.317, 15.0206, 13.4396, 8588886016, 4144979990, 4144979990, 0.092602, 0.0761462, 60.0914
29, 524.803, 15.6077, 13.5118, 8588886016, 4368997737, 4368997737, 0.088563, 0.0765601, 58.9761
