BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, SelectOptimalBaseTime(s)
49, 299.932, 1.25937, 1.82254, 396072960, 1695626071, 1695626071, 2.7e-05, 2.776e-05, 11.0048, -nan
50, 310.909, 1.21371, 1.8106, 395683840, 1700425315, 1700425315, 2.2e-05, 2.76471e-05, 11.2064, -nan
51, 148.1, 2.66065, 1.82695, 413184000, 1730127037, 1730127037, 2.2e-05, 2.75385e-05, 11.2528, -nan
52, 398.186, 0.799033, 1.80756, 333619200, 1733283349, 1733283349, 2.8e-05, 2.75472e-05, 11.4248, -nan
53, 366.553, 0.799654, 1.78889, 307353600, 1738114149, 1738114149, 3.6e-05, 2.77037e-05, 11.5699, -nan
54, 359.415, 0.81692, 1.77122, 307875840, 1741622835, 1741622835, 2.3e-05, 2.76182e-05, 11.7234, -nan
55, 387.919, 0.757145, 1.75311, 307978240, 1743524878, 1743524878, 2.4e-05, 2.75536e-05, 11.8872, -nan
56, 374.576, 0.785211, 1.73613, 308408320, 1745171907, 1745171907, 2.4e-05, 2.74912e-05, 12.0527, -nan
57, 274.849, 1.14633, 1.72596, 330373120, 1748928339, 1748928339, 2.7e-05, 2.74828e-05, 12.2157, -nan
58, 271.304, 1.16239, 1.71641, 330680320, 1753383595, 1753383595, 3e-05, 2.75254e-05, 12.3733, -nan
59, 278.607, 1.13157, 1.70666, 330577920, 1755941758, 1755941758, 2.5e-05, 2.74833e-05, 12.5435, -nan
60, 271.993, 1.1607, 1.69771, 331038720, 1758752180, 1758752180, 2.8e-05, 2.74918e-05, 12.7117, -nan
61, 265.703, 1.18862, 1.6895, 331161600, 1761182745, 1761182745, 2.8e-05, 2.75e-05, 12.8822, -nan
62, 133.675, 2.81211, 1.70732, 394168320, 1779032500, 1779032500, 4.2e-05, 2.77302e-05, 12.9745, -nan
63, 143.637, 2.62448, 1.72165, 395284480, 1792907641, 1792907641, 2.8e-05, 2.77344e-05, 13.0946, -nan
64, 144.276, 2.74526, 1.7374, 415313920, 1806418370, 1806418370, 2.9e-05, 2.77538e-05, 13.2265, -nan
65, 136.154, 2.89309, 1.75491, 413040640, 1818851127, 1818851127, 2.5e-05, 2.77121e-05, 13.3632, -nan
66, 574.332, 0.51211, 1.73636, 308408320, 1818869487, 1818869487, 1.9e-05, 2.75821e-05, 13.5326, -nan
67, 304.545, 1.25241, 1.72924, 399943680, 1827512123, 1827512123, 2.1e-05, 2.74853e-05, 13.6875, -nan
68, 153.823, 2.43507, 1.73947, 392765440, 1861560531, 1861560531, 2.6e-05, 2.74638e-05, 13.6481, -nan
69, 269.137, 1.40405, 1.73468, 396236800, 1867007257, 1867007257, 3.9e-05, 2.76286e-05, 13.8206, -nan
70, 575.091, 0.511434, 1.71745, 308408320, 1867017467, 1867017467, 2.5e-05, 2.75915e-05, 13.9857, -nan
71, 132.07, 2.48677, 1.72814, 344381440, 1984402868, 1984402868, 2.8e-05, 2.75972e-05, 13.3319, -nan
72, 201.413, 1.70291, 1.72779, 359649280, 2033346853, 2033346853, 3.1e-05, 2.76438e-05, 13.1879, -nan
73, 265.05, 1.25039, 1.72134, 347514880, 2058618503, 2058618503, 2.2e-05, 2.75676e-05, 13.1948, -nan
74, 439.465, 0.754579, 1.70845, 347719680, 2060947127, 2060947127, 2.1e-05, 2.748e-05, 13.3486, -nan
75, 266.552, 1.24422, 1.70234, 347760640, 2078956652, 2078956652, 2.4e-05, 2.74342e-05, 13.4002, -nan
76, 292.306, 1.1345, 1.69497, 347729920, 2082795714, 2082795714, 2.5e-05, 2.74026e-05, 13.5425, -nan
77, 207.511, 1.65249, 1.69442, 359567360, 2108617354, 2108617354, 2.8e-05, 2.74103e-05, 13.5472, -nan
78, 361.877, 0.947318, 1.68496, 359464960, 2110889787, 2110889787, 2.6e-05, 2.73924e-05, 13.7029, -nan
79, 192.934, 1.77876, 1.68614, 359854080, 2134682084, 2134682084, 3e-05, 2.7425e-05, 13.7187, -nan
80, 273.903, 1.25301, 1.68079, 359874560, 2137340751, 2137340751, 2.7e-05, 2.74198e-05, 13.87, -nan
81, 315.849, 1.08463, 1.67352, 359219200, 2142055067, 2142055067, 2.4e-05, 2.7378e-05, 14.0072, -nan
82, 183.126, 1.67853, 1.67358, 322314240, 2195236781, 2195236781, 2.4e-05, 2.73373e-05, 13.8147, -nan
83, 227.887, 1.4456, 1.67087, 345436160, 2218718294, 2218718294, 2.6e-05, 2.73214e-05, 13.8242, -nan
84, 246.687, 1.33365, 1.6669, 344975360, 2236459118, 2236459118, 2.6e-05, 2.73059e-05, 13.8688, -nan
85, 222.561, 1.48089, 1.66474, 345600000, 2254304057, 2254304057, 3e-05, 2.73372e-05, 13.9123, -nan
86, 238.563, 1.37616, 1.66142, 344248320, 2259655225, 2259655225, 2.8e-05, 2.73448e-05, 14.0317, -nan
87, 289.364, 1.13497, 1.65544, 344371200, 2260876131, 2260876131, 2.7e-05, 2.73409e-05, 14.1764, -nan
88, 565.332, 0.606702, 1.64365, 359649280, 2260888288, 2260888288, 2.4e-05, 2.73034e-05, 14.3354, -nan
89, 381.978, 0.905393, 1.63545, 362639360, 2275527746, 2275527746, 2.3e-05, 2.72556e-05, 14.4026, -nan
90, 380.981, 0.905556, 1.62743, 361758720, 2284247054, 2284247054, 2.9e-05, 2.72747e-05, 14.506, -nan
91, 415.019, 0.832841, 1.61879, 362434560, 2286847719, 2286847719, 2.5e-05, 2.725e-05, 14.648, -nan
92, 214.38, 1.61298, 1.61873, 362588160, 2306976107, 2306976107, 2.7e-05, 2.72473e-05, 14.6773, -nan
93, 243.754, 1.41836, 1.6166, 362526720, 2310147895, 2310147895, 3.6e-05, 2.73404e-05, 14.8141, -nan
94, 568.06, 0.608465, 1.60599, 362434560, 2310156485, 2272812524, 400.048, 4.21106, 15.2169, 234.618
