BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, SelectOptimalBaseTime(s)
114,58.9259,17.6687,10.3678,1091717120,5714538935,5714538935,2.70E-05,2.41E-05,14.1928, -nan
115,55.1699,18.8724,10.4412,1091768320,5738424178,5738424178,2.50E-05,2.41E-05,14.3239, -nan
116,59.059,17.6299,10.5026,1091778560,5755962030,5755962030,3.60E-05,2.42E-05,14.47, -nan
117,51.3658,20.9159,10.5908,1126553600,5817098027,5817098027,2.10E-05,2.41E-05,14.5116, -nan
118,59.0751,18.1864,10.6547,1126553600,5836796915,5836796915,2.70E-05,2.42E-05,14.6556, -nan
119,57.2169,18.7777,10.7224,1126594560,5854358517,5854358517,2.20E-05,2.41E-05,14.8041, -nan
120,56.241,19.1046,10.7916,1126656000,5871121303,5871121303,2.90E-05,2.42E-05,14.9537, -nan
121,56.0145,19.1826,10.8604,1126696960,5888330112,5888330112,2.80E-05,2.42E-05,15.1013, -nan
122,54.7994,19.6083,10.9315,1126717440,5904716405,5904716405,2.20E-05,2.42E-05,15.2503, -nan
123,53.7993,19.973,11.0045,1126727680,5920387337,5920387337,2.30E-05,2.42E-05,15.4002, -nan
124,52.7501,20.3704,11.0794,1126737920,5939701718,5939701718,2.60E-05,2.42E-05,15.5398, -nan
125,48.1303,22.5243,11.1702,1136762880,5993312664,5993312664,2.20E-05,2.42E-05,15.5905, -nan
126,54.7682,19.7951,11.2381,1136803840,6012223402,6012223402,2.20E-05,2.42E-05,15.7305, -nan
127,52.8169,20.5273,11.3107,1136855040,6029123372,6029123372,2.90E-05,2.42E-05,15.875, -nan
128,50.6179,21.4201,11.3891,1136906240,6046882695,6046882695,2.50E-05,2.42E-05,16.0164, -nan
129,50.2877,21.5613,11.4673,1136936960,6063803629,6063803629,2.50E-05,2.42E-05,16.1592, -nan
130,50.634,21.4146,11.5432,1136977920,6079588300,6079588300,2.80E-05,2.42E-05,16.3042, -nan
131,48.7616,22.2375,11.6243,1137008640,6095091240,6095091240,2.90E-05,2.43E-05,16.4493, -nan
132,48.6826,22.2738,11.7043,1137018880,6114040616,6114040616,2.80E-05,2.43E-05,16.5843, -nan
133,45.1133,24.3491,11.7987,1151825920,6170001125,6170001125,3.00E-05,2.44E-05,16.6206, -nan
134,49.29,22.2868,11.8764,1151877120,6188923381,6188923381,2.20E-05,2.43E-05,16.7559, -nan
135,49.3835,22.2438,11.9526,1151836160,6206640299,6206640299,2.20E-05,2.43E-05,16.8936, -nan
