Backup ID, Logical chunk num, Unique chunk num, Base chunk num, Delta chunk num, Logical chunk size, Unique chunk size, Base chunk size, Delta chunk size, LZ4_save size, Delta_save size, 
64,2946849,684080,513258,170822,23892674560,5580869610,2404883672,43868677,1818377952,1313739309
65,2995937,692541,520565,171976,24305715200,5657844301,2431176431,44400226,1859049620,1323218024
66,3034026,692567,520577,171990,24614123520,5657992401,2431189607,44405556,1859096057,1323301181
67,3083892,695994,523219,172775,25014067200,5683878422,2444533883,44115713,1865730031,1329498795
68,3133068,710148,534275,175873,25406832640,5802337491,2502156549,44370551,1901295818,1354514573
69,3182530,712856,535920,176936,25803069440,5822555219,2511704700,44330943,1904218942,1362300634
70,3220619,712881,535928,176953,26111477760,5822699186,2511715469,44336598,1904256350,1362390769
71,3263035,735096,556651,178445,26455859200,6005656824,2628593687,44873233,1958607422,1373582482
72,3307336,746419,565583,180836,26815508480,6098796294,2676977368,45900121,1984305149,1391613656
73,3350218,752391,570068,182323,27163023360,6147772247,2702197658,45774355,1995965909,1403834325
74,3393144,753605,570576,183029,27510743040,6157487549,2705827932,45846968,1996533050,1409279599
75,3436144,759571,574832,184739,27858503680,6204746036,2727826725,46141758,2008810693,1421966860
76,3479144,762358,576966,185392,28206233600,6225611499,2738941543,46092715,2013686493,1426890748
77,3523445,770570,583101,187469,28565800960,6291053095,2769691746,46409705,2033011404,1441940240
78,3567732,772866,584285,188581,28925265920,6310049010,2777371639,46971996,2035005229,1450700146
79,3612081,781297,590722,190575,29285120000,6376027080,2807780724,47332043,2055792858,1465121455
80,3656412,784282,592719,191563,29644994560,6399193338,2818537004,46961025,2060286705,1473408604
81,3700674,787566,594966,192600,30004213760,6425556325,2831690133,47050143,2064842514,1481973535
82,3740691,798725,604571,194154,30326528000,6515039713,2884304031,47704099,2089389584,1493641999
83,3783372,805381,610043,195338,30671964160,6567954497,2912731997,47856210,2104714450,1502651840
84,3825950,810353,614027,196326,31016939520,6607659097,2933722573,48076459,2115895825,1509964240
85,3868596,815960,618119,197841,31362539520,6650687784,2958249834,48373048,2123277275,1520787627
86,3910995,819466,620645,198821,31706787840,6677029366,2972267582,48398240,2128825963,1527537581
87,3953403,821838,622273,199565,32051159040,6694505446,2981554030,48406962,2131932244,1532612210
88,3997704,821859,622282,199577,32410808320,6694628515,2981568563,48410340,2131982556,1532667056
89,4042378,824073,624203,199870,32773447680,6712487789,2996135250,48472777,2133141876,1534737886
90,4086956,826102,625516,200586,33135206400,6728833826,3006289906,48556151,2133858328,1540129441
91,4131606,827496,626561,200935,33497640960,6740028415,3014004683,48557707,2134675395,1542790630
92,4176284,834288,631957,202331,33860229120,6794113241,3040124606,48941284,2152266198,1552781153
93,4220932,838026,634297,203729,34222755840,6822115611,3050451406,49811233,2159306188,1562546784
94,4265582,838047,634302,203745,34585190400,6822244413,3050455262,49814231,2159325542,1562649378
