Backup ID,Backup Size(MB),dataTranTime(us/MB),fpTime(ms/MB),freqTime(ms/MB),firstDedupTime(ms/MB),secondDedupTime(ms/MB),total_dedupTime(ms/MB),sfTime(ms/MB),checkTime(ms/MB),lz4compressTime(ms/MB),deltacompressTime(ms/MB),encTime(ms/MB),Total size(MB)
16,8191,0.191432,0.852205,0.000736683,0.0117452,0.0238359,0.888523,0.284771,0.00979205,0.0239467,0.0505462,0.0084888,139247.000000
17,8191,0.191688,0.852266,0.000860679,0.0119524,0.0238509,0.888929,0.285967,0.00980704,0.0234838,0.0510994,0.00850269,147438.000000
18,8191,0.190844,0.85245,0.00105904,0.0121253,0.0237877,0.889422,0.285914,0.0098095,0.0230639,0.0513821,0.00848802,155629.000000
19,8191,0.19011,0.85291,0.00153362,0.0122776,0.0236869,0.890408,0.28464,0.00980086,0.0225814,0.0516175,0.00844892,163820.000000
0,8191,0.199032,0.854684,-0.00268102,0.0105307,0.101901,0.964435,1.11078,0.0187476,0.176143,0.122773,0.038429,8191.000000
1,8191,0.19925,0.854354,-0.00254652,0.0106909,0.0566297,0.919128,0.630219,0.0133262,0.093728,0.0800759,0.0211721,16382.000000
2,8191,0.191827,0.855913,-0.000991336,0.0103833,0.0437064,0.909012,0.490824,0.0118219,0.0676157,0.0662398,0.0162519,24573.000000
3,8191,0.19335,0.856114,-0.000770467,0.0102244,0.0362402,0.901808,0.411228,0.0109293,0.053867,0.0581333,0.0133995,32764.000000
4,8191,0.194498,0.854846,-0.00201108,0.0103837,0.0325368,0.895756,0.369828,0.0105222,0.0458728,0.0537732,0.0118273,40955.000000
5,8191,0.191533,0.854837,-0.0022274,0.0104064,0.0302279,0.893243,0.349831,0.010304,0.0407856,0.0532175,0.0110026,49146.000000
6,8191,0.189382,0.855269,-0.00196816,0.010427,0.0281552,0.891883,0.328353,0.0100297,0.0369517,0.0512618,0.010233,57337.000000
7,8191,0.187924,0.855721,-0.00155873,0.0105269,0.0270796,0.891768,0.317372,0.00991063,0.0341572,0.0500725,0.009848,65528.000000
8,8191,0.186608,0.855918,-0.00122512,0.0106074,0.0261246,0.891425,0.307502,0.00980171,0.0319801,0.0493427,0.00949191,73719.000000
9,8191,0.187398,0.855391,-0.00149018,0.0107202,0.0251977,0.889818,0.298289,0.00971487,0.030113,0.0484925,0.00914249,81910.000000
10,8191,0.188079,0.854871,-0.00169545,0.0108947,0.0250094,0.88908,0.297665,0.00974494,0.0288936,0.0487775,0.00906223,90101.000000
11,8191,0.18888,0.854917,-0.00170631,0.011,0.0243602,0.888571,0.290543,0.00968983,0.0274949,0.048184,0.00881676,98292.000000
12,8191,0.187896,0.855361,-0.00146477,0.0111148,0.0240455,0.889056,0.287239,0.00968704,0.0264886,0.0479507,0.00868895,106483.000000
13,8191,0.187168,0.855192,-0.00168417,0.0113134,0.0244177,0.889239,0.288693,0.0097663,0.0257601,0.04854,0.0086946,114674.000000
14,8191,0.18799,0.855248,-0.00165566,0.0115013,0.0241008,0.889194,0.286167,0.00979272,0.0249774,0.0487642,0.00858461,122865.000000
15,8191,0.188437,0.855409,-0.00146148,0.01167,0.0238328,0.889451,0.283882,0.00981058,0.0242956,0.0503695,0.00849504,131056.000000
16,8191,0.187711,0.855379,-0.00141235,0.0118573,0.0238046,0.889629,0.284453,0.00981892,0.0237545,0.0510058,0.00849686,139247.000000
17,8191,0.188229,0.855561,-0.00112865,0.0120734,0.0238552,0.890361,0.285662,0.00984323,0.0233029,0.0515945,0.0085195,147438.000000
18,8191,0.188805,0.855662,-0.000975091,0.0122903,0.0238116,0.890789,0.285617,0.00986026,0.0228882,0.051976,0.00850235,155629.000000
19,8191,0.189137,0.855526,-0.0010043,0.0124584,0.0236471,0.890627,0.284351,0.00985268,0.022396,0.0521245,0.00844421,163820.000000
0,8191,0.199749,0.851558,0.000333144,0.0106272,0.103079,0.965597,1.11184,0.0193074,0.178261,0.122259,0.0385083,8191.000000
1,8191,0.198973,0.851443,-0.000695313,0.0105536,0.0570021,0.918303,0.630711,0.0135093,0.0947527,0.0791381,0.0211257,16382.000000
2,8191,0.191156,0.851747,-0.000300922,0.0102121,0.0437068,0.905365,0.491101,0.0118703,0.0682469,0.0650545,0.0161467,24573.000000
3,8191,0.187162,0.851962,-0.000147189,0.0100167,0.036229,0.89806,0.411497,0.0109306,0.0543366,0.0572562,0.0132969,32764.000000
4,8191,0.184805,0.852258,-2.60966e-05,0.0100379,0.0327303,0.895,0.370136,0.0104924,0.0463244,0.0532241,0.0118212,40955.000000
5,8191,0.187099,0.851975,-0.000225294,0.0101608,0.0304278,0.892338,0.350163,0.0102895,0.0411684,0.0526203,0.0109961,49146.000000
6,8191,0.188096,0.851169,-0.000564716,0.0102666,0.0282599,0.88913,0.328656,0.0100111,0.0372553,0.0508725,0.0102002,57337.000000
7,8191,0.189501,0.850892,-0.000816407,0.0104179,0.0270872,0.887581,0.317632,0.00988234,0.0344076,0.0496882,0.00979488,65528.000000
8,8191,0.18993,0.851411,-2.62135e-05,0.0105231,0.0262241,0.888132,0.307788,0.00977732,0.0322415,0.0489933,0.00947872,73719.000000
9,8191,0.190397,0.851392,0.000291798,0.0106236,0.0253558,0.887664,0.298581,0.00968594,0.0303756,0.0481607,0.00915345,81910.000000
10,8191,0.189067,0.850886,9.67531e-05,0.0107876,0.0251317,0.886902,0.297947,0.00971681,0.0291181,0.0483924,0.00906148,90101.000000
11,8191,0.189787,0.850184,-0.000624029,0.0109005,0.0243711,0.884832,0.290794,0.00965318,0.027676,0.0477219,0.00877961,98292.000000
12,8191,0.18864,0.850121,-0.000714869,0.0110119,0.0239929,0.884411,0.287467,0.00964286,0.0266381,0.0474411,0.00863427,106483.000000
13,8191,0.18774,0.85031,-0.000637183,0.0111759,0.0243614,0.88521,0.28889,0.00970551,0.0258947,0.0479194,0.0086409,114674.000000
14,8191,0.188453,0.850413,-0.000483786,0.0113419,0.0240544,0.885325,0.286371,0.00972738,0.0250969,0.0481719,0.00853281,122865.000000
15,8191,0.187669,0.85001,-0.000691572,0.0115021,0.0237136,0.884534,0.28406,0.0097409,0.0243812,0.049741,0.00841754,131056.000000
16,8191,0.188097,0.849999,-0.000624263,0.011706,0.0236799,0.884761,0.284638,0.00974799,0.0238386,0.0503705,0.00842429,139247.000000
17,8191,0.187642,0.850007,-0.000664563,0.0119036,0.023691,0.884937,0.285841,0.00976444,0.0233733,0.0509449,0.00843944,147438.000000
18,8191,0.188021,0.849763,-0.000849659,0.0120962,0.0235783,0.884588,0.28577,0.0097724,0.0229403,0.0512083,0.00840932,155629.000000
19,8191,0.188529,0.849948,-0.000674426,0.0122678,0.0234351,0.884976,0.284492,0.00976421,0.0224475,0.0513636,0.00835715,163820.000000
0,8191,0.195784,0.84932,-0.0016676,0.0109567,0.1035,0.96211,1.11131,0.0199195,0.17815,0.131213,0.0386117,8191.000000
1,8191,0.196686,0.852047,-0.000292093,0.0112249,0.0582896,0.921269,0.630839,0.013964,0.0949986,0.0875822,0.0215146,16382.000000
2,8191,0.191207,0.855856,0.00207653,0.0109383,0.0452579,0.914129,0.491525,0.01234,0.0685868,0.0731628,0.0165919,24573.000000
3,8191,0.188622,0.857147,0.00251546,0.0108153,0.0375744,0.908052,0.411876,0.0113962,0.0546341,0.0650257,0.0136828,32764.000000
4,8191,0.186932,0.858264,0.00335334,0.0108536,0.0341244,0.906595,0.370622,0.0109638,0.0466407,0.0606506,0.0122169,40955.000000
5,8191,0.188296,0.856915,0.00261453,0.0109756,0.0316327,0.902137,0.350519,0.0107424,0.0414426,0.0599058,0.0113385,49146.000000
6,8191,0.187223,0.858122,0.00343855,0.0110421,0.0295671,0.90217,0.329076,0.0104544,0.037571,0.0579966,0.0105715,57337.000000
7,8191,0.18831,0.858218,0.00308436,0.0111856,0.0283142,0.900802,0.318051,0.0103196,0.0346988,0.0566206,0.0101318,65528.000000
8,8191,0.18919,0.857893,0.00295299,0.011307,0.0272492,0.899403,0.308145,0.0102141,0.0324651,0.0557929,0.00974348,73719.000000
9,8191,0.189938,0.857516,0.00262608,0.0114372,0.0262679,0.897847,0.2989,0.010125,0.0305655,0.054857,0.00937765,81910.000000
10,8191,0.189125,0.858032,0.00304763,0.0116067,0.0261716,0.898858,0.298341,0.0101517,0.0293624,0.055356,0.00932849,90101.000000
11,8191,0.189675,0.857411,0.00249213,0.0117461,0.0254227,0.897072,0.291177,0.0100906,0.0279138,0.0547426,0.00905454,98292.000000
12,8191,0.190127,0.857236,0.00237892,0.0119049,0.0250482,0.896568,0.287852,0.0100901,0.0268737,0.0544702,0.0089052,106483.000000
13,8191,0.190509,0.857139,0.00234772,0.0121115,0.0254365,0.897035,0.289304,0.0101673,0.0261321,0.0551246,0.00891191,114674.000000
14,8191,0.190493,0.856729,0.0023042,0.0122731,0.0250782,0.896384,0.286738,0.01018,0.0253324,0.055266,0.00879564,122865.000000
15,8191,0.189807,0.857026,0.00255391,0.0124472,0.024812,0.896839,0.284482,0.0101937,0.0246419,0.0569223,0.00870609,131056.000000
16,8191,0.189921,0.856855,0.00258343,0.0126559,0.0247759,0.896871,0.285044,0.0102027,0.0240944,0.0576532,0.0087107,139247.000000
17,8191,0.189424,0.857091,0.00262543,0.0128838,0.0247874,0.897387,0.28626,0.0102246,0.0236279,0.0582588,0.00872096,147438.000000
18,8191,0.18932,0.85711,0.00269137,0.0130906,0.024719,0.897611,0.286221,0.0102333,0.02321,0.0586082,0.00870523,155629.000000
19,8191,0.189671,0.857281,0.00287233,0.0132867,0.0245801,0.89802,0.284944,0.0102258,0.0227185,0.0588441,0.00865311,163820.000000
0,8191,0.177799,0.855985,0.00116192,0.0103046,0.104479,0.971931,1.11455,0.0191699,0.179436,0.123856,0.039265,8191.000000
1,8191,0.185875,0.849117,-0.00338262,0.010474,0.056642,0.91285,0.631714,0.0134404,0.095005,0.0793077,0.0211742,16382.000000
2,8191,0.188553,0.850156,-0.00177222,0.0101526,0.043766,0.902302,0.491882,0.0118754,0.0684971,0.0653642,0.0162561,24573.000000
3,8191,0.190882,0.849017,-0.00286883,0.0100987,0.0359775,0.892225,0.411998,0.0109811,0.0544336,0.0576322,0.0133053,32764.000000
4,8191,0.187711,0.849906,-0.00187895,0.0100699,0.0326291,0.890726,0.370574,0.0105448,0.0464309,0.0535036,0.0118676,40955.000000
5,8191,0.188772,0.850124,-0.00132211,0.0101625,0.0304576,0.889422,0.350539,0.0103305,0.0413004,0.0529764,0.0110826,49146.000000
