Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size
44,2.4874,0,0,2187334540,2090403667,3996961,3253253,20862,2031182,1204027,96322160,86897408,47623744,32079462,30399712,17304453120
45,2.47059,0,0,2222424764,2123139632,4219522,3452663,21984,2088613,1233728,98698240,88103744,49106496,33865536,31268064,17793658880
46,2.5727,0,0,2259025888,2156712611,4454467,3663887,23142,2147190,1264387,101150960,89376832,50625664,35750854,32145376,18292684800
47,2.53624,0,0,2291028634,2186347743,4701622,3886743,24285,2206496,1294554,103564320,90442880,52181376,37733785,33041408,18798346240
48,2.54057,0,0,2315973171,2207126272,4962173,4122752,25418,2266715,1323504,105880320,91223296,53752960,39823858,33925152,19312179200
49,3.00414,0,0,2367142245,2257778464,5199848,4333739,26640,2335940,1359838,108787040,93026432,55462080,41731336,34938336,19902177280
50,4.50853,0,0,2528821272,2461374789,5379905,4493627,28287,2419066,1426420,114113600,101872192,56754112,43180011,35724800,20615280640
51,3.84588,0,0,2656232810,2523144993,5565323,4647943,29406,2503193,1471068,117685440,104419072,58745920,44668942,37306368,21337559040
52,3.95753,0,0,2729242629,2595193991,5767431,4818189,30425,2593570,1520912,121672960,107771776,60786688,46290869,38579168,22117294080
53,4.04599,0,0,2799079638,2654347796,5988988,5006124,31460,2687808,1568890,125511200,110458624,62939776,48068468,39903424,22935326720
54,3.9795,0,0,2855162221,2718783815,6214819,5199349,32609,2782874,1615142,129211360,113011264,65027520,49880821,41154592,23760384000
55,4.09167,0,0,2926908595,2778885435,6457110,5406899,33793,2878878,1662942,133035360,115449600,67252480,51825029,42511136,24594739200
56,4.09307,0,0,2983559178,2836747313,6711050,5626454,34898,2975128,1710128,136810240,117831488,69454976,53862050,43830816,25430681600
57,4.02745,0,0,3040085343,2899389560,6958622,5840442,35987,3070965,1757037,140562960,120323648,71606080,55848031,45119072,26264494080
58,4.02747,0,0,3100522965,2957762910,7215478,6063445,37177,3166442,1803100,144248000,122601856,73774528,57908797,46420864,27094425600
59,4.02809,0,0,3162203480,3019068610,7483903,6297743,38447,3262959,1849992,147999360,124984512,75959808,60062523,47720224,27933890560
60,3.07784,0,0,3182134624,3051024897,7800934,6586916,40219,3332759,1886832,150946560,126645824,77744192,62607615,48749408,28529817600
61,4.10104,0,0,3256417255,3117829361,8082869,6834557,41520,3430872,1934164,154733120,129078592,79940480,64869600,50054176,29384591360
62,3.16117,0,0,3286157986,3161013713,8416796,7139633,43361,3504712,1972423,157793840,130812096,81788480,67550165,51134304,30015549440
63,3.17261,0,0,3326373117,3198302156,8764988,7458603,45069,3579605,2009807,160784560,132310848,83659968,70344217,52216672,30656389120
64,3.26897,0,0,3366782452,3239565013,9125592,7789094,46837,3655420,2047926,163834080,133781632,85588672,73237841,53319136,31304744960
65,3.22229,0,0,3407219687,3273393518,9503445,8136405,48554,3732183,2085663,166853040,135084864,87545216,76269210,54426560,31962798080
66,3.45028,0,0,3444863288,3314242335,9894609,8496769,50369,3809922,2124329,169946320,136516032,89517568,79407557,55536480,32629002240
67,3.30075,0,0,3483783256,3348128642,10306025,8876653,52088,3888789,2162403,172992240,137695872,91536704,82707440,56671232,33305978880
68,3.29724,0,0,3517260810,3382430145,10731214,9270232,53810,3968924,2200450,176036000,138849280,93561600,86117490,57792096,33992949760
69,3.36766,0,0,3547076290,3405386236,11175506,9682464,55495,4050053,2237353,178988240,139694784,95614464,89680211,58923744,34688532480
70,4.06589,0,0,3610052422,3482025258,11508415,9981670,57355,4149217,2284535,182762800,142201216,97773056,92352727,60206688,35551836160
71,5.86212,0,0,3820287886,3756382445,11706946,10156170,60106,4265450,2371143,189691440,154057920,99313984,93954690,61176096,36571084800
72,4.84932,0,0,3984446335,3826245622,11909655,10320882,61399,4386386,2425654,194052320,157126592,101748096,95582803,63193728,37635307520
73,4.79642,0,0,4048201248,3885987070,12133527,10506104,62691,4508081,2477154,198172320,159519488,104223296,97380191,64712288,38705633280
74,4.90733,0,0,4118408694,3950198778,12383313,10715818,63951,4632072,2531806,202544480,162237184,106790784,99384707,66242240,39797422080
75,4.08079,0,0,4153956039,3981633929,12763125,11059702,65844,4732223,2578458,206276640,164189376,109091840,102432564,67580896,40669081600
76,4.09858,0,0,4185530494,4062808483,13084874,11348014,67761,4832181,2625447,210035760,166683520,111233472,105016117,68826240,41540311040
77,4.23122,0,0,4264805639,4116286256,13414860,11641802,69401,4936619,2671964,213757120,168566336,113552000,107664197,70225856,42453647360
78,4.24858,0,0,4318666795,4161993229,13759080,11949082,70997,5043629,2718584,217486720,170329536,115918080,110425889,71580416,43391784960
79,4.32736,0,0,4365608764,4209502428,14122104,12274490,72583,5152164,2765822,221265760,172069056,118328000,113337995,72950880,44339476480
80,4.27035,0,0,4410154905,4247992353,14500870,12615027,74038,5261707,2811976,224958080,173494720,120776640,116375342,74331104,45297090560
81,4.29449,0,0,4450323212,4286217584,14899280,12974715,75555,5372102,2858319,228665520,174860928,123256640,119570167,75716512,46262865920
82,4.36354,0,0,4492130196,4327527769,15312590,13348406,77105,5484739,2905801,232464080,176263296,125794496,122884349,77125120,47246745600
83,4.65333,0,0,4525012543,4357572183,15741756,13737904,78581,5600065,2950934,236074720,177213120,128334976,126325025,78521120,48257771520
84,4.89578,0,0,4576312453,4638520830,15840996,13828383,81103,5731739,3017224,241377920,188198848,128897152,127131507,78864576,49277399040
85,4.34334,0,0,4798559729,4666783878,15975722,13921424,81493,5863315,3067312,245384960,189769472,131565120,128211249,81345216,50296299520
86,4.34586,0,0,4826160246,4686642988,16150080,14051702,81883,5994894,3117225,249378000,190815424,134386304,129608055,82954016,51315251200
87,4.37136,0,0,4845835121,4702996133,16363841,14220430,82301,6126492,3167083,253366640,191658304,137268416,131320233,84504992,52334315520
88,4.35563,0,0,4862269438,4717426713,16616202,14427198,82782,6258093,3216960,257356800,192395072,140186432,133341526,86057472,53353451520
89,4.38273,0,0,4876505768,4733793985,16903047,14669002,83353,6389710,3266777,261342160,193214592,143069184,135639133,87573632,54372659200
90,4.37844,0,0,4892804860,4747507290,17228941,14949250,83979,6521331,3316599,265327920,193913472,145990592,138249407,89108384,55391877120
91,4.4168,0,0,4906308899,4761546738,17594805,15268987,84659,6652951,3366420,269313600,194523456,148942720,141179719,90644384,56411115520
92,4.62137,0,0,4936338620,4800650537,17960700,15591802,86065,6789356,3420253,273620240,196489344,151699968,144113909,92128928,57475020800
93,4.46078,0,0,4961163068,4815097338,18363002,15947909,86940,6925770,3470576,277646080,197178944,154656448,147336700,93812480,58538926080
94,4.58722,0,0,4975849904,4827463688,18802006,16340205,87899,7062177,3520920,281673600,197774464,157645824,150853519,95389536,59602882560
95,4.50227,0,0,4988104930,4841137335,19275965,16767470,88909,7198603,3571264,285701120,198374208,160634304,154650241,96948896,60666931200
96,4.48384,0,0,5001682005,4855875792,19775721,17221603,89962,7335032,3621567,289725360,199173568,163554240,158653546,98473920,61731010560
97,4.52437,0,0,5016189554,4867082520,20321424,17720269,91071,7471465,3671829,293746320,199700544,166564608,163024707,100038304,62795141120
98,4.45297,0,0,5027405947,4877680681,20904497,18256117,92212,7607907,3722086,297766880,200176896,169587008,167694996,101605280,63859333120
99,4.50116,0,0,5038135616,4892007826,21514721,18819581,93437,7744382,3772484,301798720,200776704,172579712,172582913,103160768,64923545600
100,4.71424,0,0,5066934183,4931547073,22106426,19367398,95334,7881525,3826224,306097920,202572736,175388672,177326030,104648032,65993615360
101,4.53389,0,0,5093021725,4944282910,22723471,19938486,96655,8018709,3876836,310146880,203372160,178329920,182268995,106300352,67063726080
102,4.55965,0,0,5105813639,4956753903,23382539,20550642,98089,8155889,3927427,314194160,203977024,181332288,187548709,107875936,68133898240
103,4.48946,0,0,5118077470,4968465222,24079853,21200562,99536,8293084,3977998,318239840,204479232,184365696,193134456,109457568,69204080640
104,4.56079,0,0,5129629713,4979940753,24803843,21877515,101063,8430283,4028520,322281600,205037184,187376064,198934003,111022432,70274334720
105,4.52365,0,0,5140661338,4990037877,25567774,22593955,102619,8567471,4078922,326313760,205483840,190415488,205053231,112595200,71344599040
106,4.51233,0,0,5151089919,5001202787,26363939,23343036,104182,8704660,4129407,330352560,206050688,193428992,211430350,114149184,72414904320
