Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size
0,2.45,9,32,100594084,100594084,0,0,0,24641,24495,1959600,4684416,0,0,1632,208250880
1,1.95259,33,8452,130320561,130320561,0,0,0,49838,39626,3170080,5971264,0,0,538720,420976640
2,2.02004,70,17641,156360994,156360994,0,0,0,75769,54678,4374240,7096128,0,0,952960,640409600
3,2.02048,117,26832,181522624,181498876,17,10,4,102154,69374,5549920,8150848,448,156,1341888,864501760
4,2.15716,171,36124,211121246,210899184,164,103,17,128934,85204,6816320,9393728,3904,1397,1734528,1092659200
5,2.27463,231,45325,245324134,243051584,1642,1084,62,156457,101934,8154720,10741696,35712,13446,2150368,1326612480
6,2.31831,297,53552,281900434,274120516,7396,4981,129,184290,118788,9503040,12033856,154560,59805,2582880,1563217920
7,2.26279,380,58162,332219827,307995000,26232,18194,213,212510,136407,10912560,13435456,514624,210905,3015680,1803356160
8,2.51001,486,64896,362122013,342337886,40242,27736,314,241451,155151,12412080,14871424,800896,323490,3502464,2049822720
9,2.52173,632,72511,384780383,368268851,53585,37295,426,270745,172102,13768160,15929664,1043136,430794,3983072,2300139520
10,2.63994,780,79573,415130648,396385643,70110,49361,557,300593,189672,15173760,17072960,1328768,563649,4449856,2554542080
11,2.68375,926,85903,450860564,428918044,90788,65040,703,331389,208165,16653200,18429568,1649088,729795,4909664,2817464320
12,2.81037,1093,92555,482542064,462338252,111343,80796,864,362473,226816,18145280,19794944,1956736,895024,5384704,3082168320
13,3.02874,1273,97987,533207862,506043876,138546,101492,1045,394467,248136,19850880,21577280,2373248,1113553,5884224,3355002880
14,3.29099,1505,104841,571519636,552194622,158833,117249,1241,427730,269719,21577520,23520896,2663360,1276821,6366528,3639654400
15,3.21218,1706,111606,617925206,594425405,183979,136741,1454,461573,291289,23303120,25262272,3025472,1479038,6905920,3929231360
16,3.36159,1960,118033,664479392,645219181,203231,151438,1683,495907,313484,25078720,27389120,3317184,1634191,7373984,4223057920
17,3.57519,2221,124707,719047872,704062476,224219,167528,1924,533891,338250,27060000,29895104,3630976,1803292,7875456,4533319680
18,3.95385,2494,132522,783404865,757979779,247017,184703,2179,573226,363914,29113120,32219328,3991040,1986943,8457152,4869498880
19,4.03386,2757,141454,834684155,810986669,272987,205122,2437,614460,390057,31204560,34438464,4346432,2195985,9084160,5222645760
20,4.05902,3032,151112,883744827,859257721,299296,225739,2720,657190,416136,33290880,36481280,4711040,2407872,9730048,5588357120
21,4.204,3293,160773,940287086,912226007,329494,249546,3017,701984,444128,35530240,38755136,5120128,2650933,10393184,5970749440
22,4.26977,3580,171325,990884957,962773755,360161,273703,3330,748244,472329,37786320,40868928,5537024,2897826,11106912,6365849600
23,4.26537,3840,181402,1042717878,1007477833,399138,304711,3659,795533,500237,40018960,42739072,6047232,3211271,11851840,6770524160
24,4.35373,4122,192560,1084974930,1053610660,435294,333624,4000,843831,528928,42314240,44692864,6511168,3502208,12603072,7183421440
25,4.39395,4429,203152,1131771936,1099128094,478534,369034,4368,892453,557325,44586000,46585472,7012544,3849952,13343232,7597076480
26,4.5009,4724,212451,1194038925,1154056170,529254,410481,4760,943081,588339,47067120,48951104,7606400,4257648,14088704,8028426240
27,4.63389,5075,224771,1228988983,1198297053,568894,442854,5146,994732,617593,49407440,50785984,8071872,4576690,14887264,8468920320
28,4.58858,5394,233092,1300149993,1246999784,638786,500267,5619,1047519,648825,51906000,52761152,8871040,5138167,15717568,8918517760
29,4.78163,5785,245983,1320552965,1289224211,683597,537608,6036,1100481,678191,54255280,54472192,9349632,5498716,16527328,9369497600
30,6.25292,6129,248781,1493216711,1461622411,744179,588920,6612,1161683,730293,58423440,62132736,9943232,5986244,17007296,9891061760
31,5.82939,6605,270544,1517157947,1512850466,749390,593051,6765,1224165,764459,61156720,64301440,10012352,6028689,18244832,10425190400
32,5.77215,7052,292111,1571122705,1562576924,760190,601799,6991,1287906,799067,63925360,66405184,10143680,6116219,19204800,10969159680
33,5.90977,7491,312680,1626254748,1608637330,782542,619890,7356,1352398,833924,66713920,68316352,10416640,6296844,20187584,11518976000
34,5.80967,7879,330752,1687444304,1657838457,822256,652675,7744,1418053,869731,69578480,70368256,10860224,6616496,21169472,12079032320
35,5.78266,8239,347959,1745394171,1709797188,869496,691508,8182,1485051,906885,72550800,72562304,11398528,6996606,22177952,12650547200
36,5.67787,8574,363831,1802117842,1758658885,926525,738453,8631,1552883,943650,75492000,74610304,12044288,7455067,23191104,13229209600
37,5.71673,8939,380306,1848095813,1806701263,982189,784405,9093,1620506,980487,78438960,76624256,12666816,7902681,24207680,13805813760
38,5.675,9316,396702,1896996231,1851433697,1045641,837079,9564,1688546,1017268,81381440,78441280,13357312,8412644,25262272,14386237440
39,5.7251,9718,410512,1954752173,1900401232,1129607,908321,10087,1757006,1054333,84346640,80432256,14172032,9086979,26273888,14970695680
40,3.92083,9879,412540,2021520288,1937409358,1286078,1045744,10805,1810412,1083547,86683760,81940096,15392256,10342305,27072000,15425167360
41,4.68081,10280,419514,2039329842,1978800416,1403018,1148176,11520,1864540,1113534,89082720,83533120,16321216,11281400,27889120,15886080000
42,4.70542,10692,427373,2076361483,2015634771,1519226,1250180,12261,1919273,1143338,91467040,84983296,17230464,12214737,28732544,16352163840
43,4.74902,11100,434822,2118308282,2055522891,1645469,1361458,13037,1974837,1173737,93898960,86469056,18189248,13228553,29577696,16824729600
44,4.59792,11448,441674,2158936861,2092399629,1779729,1479886,13806,2031182,1204027,96322160,87884800,19203200,14306446,30432480,17304453120
45,4.67992,11841,449353,2190553224,2125767857,1916189,1600830,14588,2088613,1233728,98698240,89090560,20197184,15402020,31300896,17793658880
46,4.6939,12184,455973,2231954129,2159880024,2078019,1745431,15402,2147190,1264387,101150960,90345728,21300672,16700706,32182048,18292684800
47,4.75657,12568,462965,2263640685,2188232081,2245875,1895838,16213,2206496,1294554,103564320,91389952,22417792,18047601,33079840,18798346240
48,4.80327,13010,471182,2281206582,2210061960,2407502,2040949,16989,2266715,1323504,105880320,92148224,23475520,19344497,33967104,19312179200
49,5.21836,13325,475721,2350597574,2260342277,2602323,2213684,17893,2335940,1359838,108787040,93961856,24889920,20907569,34981056,19902177280
50,7.75408,13695,478615,2520100611,2463373986,2752498,2346809,19068,2419066,1426420,114113600,102841664,25982208,22114828,35757408,20615280640
51,7.92812,14458,505973,2538990282,2524189193,2787760,2378263,19633,2503193,1471068,117685440,105413568,26226176,22399749,37344064,21337559040
52,8.18741,15175,532779,2614914316,2597870781,2824743,2410344,20249,2593570,1520912,121672960,108844096,26540416,22698661,38609568,22117294080
53,7.95105,15776,557505,2695675389,2659255788,2895570,2472373,20981,2687808,1568890,125511200,111588224,27103872,23268929,39933824,22935326720
54,7.54213,16302,578002,2771721424,2721926499,2990187,2555004,21853,2782874,1615142,129211360,114193792,27871552,24030217,41186080,23760384000
55,7.52581,16801,597055,2848472933,2782471199,3101223,2650445,22737,2878878,1662942,133035360,116674816,28870400,24922917,42546336,24594739200
56,7.51579,17289,617831,2897535109,2841684806,3200470,2736150,23559,2975128,1710128,136810240,119100864,29738112,25720987,43868192,25430681600
57,7.53075,17830,637826,2958651312,2902972850,3292649,2814776,24334,3070965,1757037,140562960,121625984,30606208,26462270,45161216,26264494080
58,7.34589,18361,655272,3028595697,2959305785,3411790,2917618,25163,3166442,1803100,144248000,123943104,31650688,27419527,46463584,27094425600
59,7.54769,18928,672621,3089301258,3020839570,3544799,3033933,26078,3262959,1849992,147999360,126364224,32719680,28488158,47764224,27933890560
60,5.07355,19183,675335,3172075968,3053575646,3825529,3289251,27302,3332759,1886832,150946560,127966400,34347392,30740086,48803776,28529817600
61,7.43084,19698,688278,3203847984,3118183571,4001015,3443410,28279,3430872,1934164,154733120,130419008,35713344,32148859,50111648,29384591360
62,5.75399,20124,695014,3257075663,3163898857,4236964,3657110,29576,3504712,1972423,157793840,132133248,37138880,34042888,51190016,30015549440
63,5.9444,20614,704688,3286728422,3200984040,4447640,3848164,30786,3579605,2009807,160784560,133632896,38395712,35734330,52272448,30656389120
64,6.06962,21140,715415,3322011943,3241558741,4654609,4035675,32016,3655420,2047926,163834080,135102208,39642176,37396168,53376448,31304744960
