Backup ID,Backup Size(MB),dataTranTime(us/MB),fpTime(ms/MB),freqTime(ms/MB),firstDedupTime(ms/MB),secondDedupTime(ms/MB),total_dedupTime(ms/MB),sfTime(ms/MB),checkTime(ms/MB),lz4compressTime(ms/MB),deltacompressTime(ms/MB),encTime(ms/MB),Total size(MB)
18,366.455,0.205446,0.906185,0.024764,0.079404,0.383637,1.39399,3.59117,0.0849242,0.556633,0.578979,0.123952,7097.460938
19,358.242,0.206531,0.906809,0.0252647,0.0799937,0.371934,1.384,3.47635,0.0828633,0.539518,0.56786,0.120208,7455.703125
0,357.461,0.188868,0.900438,0.022037,0.0628013,0.909326,1.8946,8.80339,0.108921,1.67345,0.852134,0.337095,357.460938
1,349.277,0.209912,0.909363,0.0326662,0.0661051,0.666133,1.67427,6.20811,0.0993975,1.04386,0.755935,0.234084,706.738281
2,350.332,0.214058,0.910781,0.0324407,0.0666834,0.569606,1.57951,5.28215,0.0961809,0.828722,0.730363,0.194376,1057.070312
3,352.09,0.2076,0.9095,0.0294365,0.0679128,0.517172,1.52402,4.77482,0.0952851,0.707124,0.707621,0.172129,1409.160156
4,351.504,0.202451,0.908135,0.0279848,0.0685139,0.474267,1.4789,4.4031,0.0932387,0.639271,0.671235,0.158349,1760.664062
5,288.975,0.204216,0.908714,0.0283253,0.0695903,0.460399,1.46703,4.27439,0.0934233,0.616019,0.678027,0.153997,2049.638672
6,475.41,0.206335,0.908371,0.0282498,0.0738611,0.547024,1.55751,5.04893,0.101432,0.822743,0.731489,0.183882,2525.048828
7,333.418,0.208846,0.907708,0.0270137,0.0767621,0.570601,1.58208,5.36958,0.109129,0.868831,0.779868,0.191502,2858.466797
8,350.195,0.206277,0.906717,0.026552,0.0789868,0.580353,1.59261,5.5149,0.113754,0.885904,0.821775,0.19432,3208.662109
9,350.195,0.207557,0.906813,0.0269586,0.0755001,0.524264,1.53354,4.97285,0.103508,0.79901,0.743804,0.175527,3558.857422
10,360.557,0.20953,0.907401,0.0278244,0.0754095,0.492477,1.50311,4.65442,0.0979289,0.747979,0.708665,0.164894,3919.414062
11,297.832,0.207445,0.906802,0.0275035,0.0754089,0.468032,1.47775,4.42036,0.0939606,0.709787,0.685815,0.156489,4217.246094
12,297.686,0.20577,0.906673,0.0276522,0.0766164,0.46198,1.47292,4.35258,0.0940256,0.694934,0.685376,0.154695,4514.931641
13,484.023,0.207247,0.90614,0.0275911,0.0747092,0.422487,1.43093,3.97133,0.0874159,0.631141,0.637476,0.141156,4998.955078
14,498.467,0.208924,0.904859,0.0268043,0.0752984,0.411196,1.41816,3.86773,0.0869744,0.604153,0.632839,0.136231,5497.421875
15,498.555,0.206647,0.905268,0.0272955,0.0754524,0.396958,1.40497,3.73024,0.0853726,0.578569,0.619042,0.13098,5995.976562
16,368.594,0.20797,0.904982,0.0269471,0.0769874,0.404206,1.41312,3.82066,0.0883959,0.593459,0.617203,0.133109,6364.570312
17,366.436,0.206483,0.903646,0.0261225,0.0766108,0.391537,1.39792,3.71474,0.0868465,0.573966,0.596789,0.12854,6731.005859
18,366.455,0.20725,0.904036,0.0264461,0.0780929,0.38428,1.39285,3.58904,0.0844895,0.556123,0.581302,0.124399,7097.460938
19,358.242,0.207878,0.903953,0.0264371,0.078587,0.372158,1.38114,3.47405,0.0824111,0.538897,0.569751,0.120473,7455.703125
0,357.461,0.231379,0.907843,0.032466,0.0638224,0.923319,1.92745,8.79056,0.103718,1.65388,0.85599,0.342722,357.460938
1,349.277,0.206586,0.906184,0.0299921,0.0669229,0.651425,1.65452,6.1905,0.0957469,1.0259,0.748627,0.23014,706.738281
2,350.332,0.199453,0.901233,0.0255126,0.0676738,0.549342,1.54376,5.26416,0.093219,0.812492,0.720169,0.18809,1057.070312
3,352.09,0.204584,0.900951,0.0260389,0.0690865,0.505911,1.50199,4.76156,0.0930008,0.69478,0.707058,0.168323,1409.160156
4,351.504,0.200587,0.899678,0.0251387,0.0695794,0.464316,1.45871,4.39032,0.0910736,0.628558,0.670662,0.155152,1760.664062
5,288.975,0.198112,0.902417,0.0275692,0.0703734,0.453927,1.45429,4.26339,0.0912522,0.606831,0.678823,0.152071,2049.638672
6,475.41,0.201579,0.902474,0.0281317,0.0750477,0.541194,1.54685,5.03739,0.099206,0.810273,0.731427,0.181273,2525.048828
7,333.418,0.199487,0.902372,0.0284882,0.0775062,0.566623,1.57499,5.35618,0.106463,0.856522,0.780688,0.189625,2858.466797
8,350.195,0.197764,0.902659,0.0296106,0.0799408,0.579241,1.59145,5.50276,0.11131,0.875199,0.824575,0.193415,3208.662109
9,350.195,0.199965,0.901861,0.0285878,0.0762155,0.521374,1.52804,4.96128,0.101276,0.788842,0.744906,0.174083,3558.857422
10,360.557,0.198268,0.902763,0.0292548,0.0759665,0.489088,1.49707,4.64371,0.095858,0.738566,0.709289,0.163308,3919.414062
11,297.832,0.197002,0.902645,0.0291407,0.0759206,0.46458,1.47229,4.41036,0.0919977,0.70094,0.686192,0.154912,4217.246094
12,297.686,0.19614,0.901998,0.0286749,0.0771881,0.457563,1.46542,4.34271,0.0921431,0.686032,0.686179,0.152727,4514.931641
13,484.023,0.194526,0.901274,0.0282042,0.0752687,0.41815,1.4229,3.96227,0.0856697,0.622999,0.637845,0.139302,4998.955078
14,498.467,0.19679,0.902126,0.0292063,0.075847,0.409036,1.41622,3.8597,0.0852505,0.596937,0.635355,0.135171,5497.421875
