BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, SelectOptimalBaseTime(s)
55,66.5244,11.9611,6.82732,834355200,3052044314,3052044314, 2e-05, 2.825e-05,8.05845, -nan
56,65.2636,12.2153,6.92185,835942400,3120894815,3120894815, 2.2e-05, 2.81404e-05,8.14852, -nan
57,65.505,12.1393,7.01181,833812480,3191938735,3191938735, 2.2e-05, 2.80345e-05,8.22838, -nan
58,62.2016,12.7245,7.10863,829931520,3257922937,3257922937, 2.3e-05, 2.79492e-05,8.31647, -nan
59,60.0678,13.3279,7.21229,839464960,3327708322,3327708322, 2.2e-05, 2.785e-05,8.39433, -nan
60,44.2943,12.8306,7.30439,595927040,3376702423,3376702423, 2.1e-05, 2.77377e-05,8.44902, -nan
61,56.2564,14.4904,7.42029,854773760,3446696184,3446696184, 2.7e-05, 2.77258e-05,8.52544, -nan
62,42.923,14.0188,7.52503,630958080,3500113290,3500113290, 2.9e-05, 2.7746e-05,8.57559, -nan
63,42.4082,14.4112,7.63263,640839680,3548863273,3548863273, 2.3e-05, 2.76719e-05,8.63837, -nan
64,41.4314,14.924,7.7448,648355840,3596966889,3596966889, 2.2e-05, 2.75846e-05,8.7031, -nan
65,41.0369,15.2928,7.85916,658053120,3641352208,3641352208, 2.2e-05, 2.75e-05,8.77773, -nan
66,40.715,15.6046,7.97477,666204160,3688784132,3688784132, 2.2e-05, 2.74179e-05,8.84546, -nan
67,41.2623,15.6466,8.08759,676976640,3730184160,3730184160, 2.3e-05, 2.73529e-05,8.92878, -nan
68,43.5308,15.0502,8.1885,686970880,3770713929,3770713929, 2.8e-05, 2.73623e-05,9.01499, -nan
69,48.2499,13.7484,8.26792,695582720,3803817670,3803817670, 2.4e-05, 2.73143e-05,9.1194, -nan
70,55.0056,14.9678,8.36229,863303680,3876954024,3876954024, 2.1e-05, 2.72254e-05,9.17004, -nan
71,55.3889,17.5492,8.48988,1019248640,4131680836,4131680836, 2.6e-05, 2.72083e-05,8.85138, -nan
72,83.5981,12.1405,8.53989,1064222720,4212895762,4212895762, 2.2e-05, 2.7137e-05,8.93336, -nan
73,85.4816,11.9411,8.58585,1070325760,4282626920,4282626920, 2.5e-05, 2.71081e-05,9.03783, -nan
74,81.878,12.7166,8.64093,1091788800,4358597675,4358597675, 2.2e-05, 2.704e-05,9.13079, -nan
75,47.9126,17.3499,8.75552,871659520,4420544253,4420544253, 2.7e-05, 2.70395e-05,9.20002, -nan
76,50.5446,16.4383,8.8553,871229440,4494990072,4494990072, 2.1e-05, 2.6961e-05,9.24147, -nan
77,52.5506,16.575,8.95427,913336320,4557303781,4557303781, 2.1e-05, 2.68846e-05,9.31552, -nan
78,52.9988,16.8811,9.05461,938137600,4615724135,4615724135, 2.4e-05, 2.68481e-05,9.40086, -nan
79,51.5463,17.5335,9.16059,947691520,4673862132,4673862132, 2.7e-05, 2.685e-05,9.48669, -nan
80,52.252,17.4778,9.26328,957614080,4725286599,4725286599, 2.1e-05, 2.67778e-05,9.5861, -nan
81,52.5492,17.5271,9.36405,965775360,4775676932,4775676932, 2.6e-05, 2.67683e-05,9.68718, -nan
82,54.6789,17.1602,9.45798,983879680,4825702287,4825702287, 2.3e-05, 2.67229e-05,9.79065, -nan
83,75.2216,12.8179,9.49798,1011015680,5020388992,5020388992, 2.1e-05, 2.66548e-05,9.61236, -nan
84,112.05,8.67821,9.48834,1019627520,5082280713,5082280713, 2.1e-05, 2.65882e-05,9.69592, -nan
85,125.457,7.74526,9.46807,1018900480,5109976778,5109976778, 2.1e-05, 2.65233e-05,9.84276, -nan
86,122.479,7.93399,9.45044,1018951680,5134362396,5134362396, 2.3e-05, 2.64828e-05,9.99447, -nan
87,121.382,8.00662,9.43403,1019064320,5156365507,5156365507, 2.5e-05, 2.64659e-05,10.1495, -nan
88,117.07,8.3021,9.42131,1019136000,5177296718,5177296718, 2.6e-05, 2.64607e-05,10.3053, -nan
89,114.464,8.49165,9.41098,1019207680,5198081412,5198081412, 2.6e-05, 2.64556e-05,10.4601, -nan
90,112.063,8.6737,9.40288,1019217920,5217208474,5217208474, 2e-05, 2.63846e-05,10.6171, -nan
91,106.07,9.16398,9.40028,1019238400,5236486025,5236486025, 2.1e-05, 2.63261e-05,10.7727, -nan
92,96.527,10.5112,9.41223,1063905280,5278069101,5278069101, 2e-05, 2.62581e-05,10.8894, -nan
93,102.02,9.94534,9.4179,1063905280,5297730007,5297730007, 2.6e-05, 2.62553e-05,11.0498, -nan
94,97.1158,10.448,9.42874,1063956480,5316362238,5316362238, 2.7e-05, 2.62632e-05,11.2112, -nan
95,92.5664,10.9625,9.44472,1064048640,5334893723,5334893723, 2.2e-05, 2.62188e-05,11.3717, -nan
96,88.0518,11.5249,9.46617,1064079360,5354751473,5354751473, 2.6e-05, 2.62165e-05,11.5283, -nan
97,86.3386,11.7541,9.48951,1064130560,5371676112,5371676112, 2.8e-05, 2.62347e-05,11.69, -nan
98,83.173,12.2022,9.51691,1064192000,5388041037,5388041037, 1.9e-05, 2.61616e-05,11.852, -nan
99,80.839,12.5547,9.54729,1064212480,5407795687,5407795687, 2.1e-05, 2.611e-05,12.0055, -nan
100,77.2405,13.212,9.58357,1070069760,5447195072,5447195072, 2.8e-05, 2.61287e-05,12.1152, -nan
101,78.5516,12.9919,9.61699,1070110720,5468471071,5468471071, 2.4e-05, 2.61078e-05,12.2637, -nan
102,76.1889,13.3956,9.65368,1070172160,5487226989,5487226989, 2.8e-05, 2.61262e-05,12.4168, -nan
103,71.6391,14.2465,9.69784,1070182400,5505186575,5505186575, 3e-05, 2.61635e-05,12.5707, -nan
104,70.5321,14.4711,9.7433,1070254080,5522885346,5522885346, 2.1e-05, 2.61143e-05,12.7242, -nan
105,70.3329,14.5122,9.78829,1070264320,5538856681,5538856681, 2.9e-05, 2.61415e-05,12.8807, -nan
106,69.2025,14.7498,9.83465,1070305280,5556290452,5556290452, 2.2e-05, 2.61028e-05,13.033, -nan
107,66.6826,15.3073,9.88533,1070315520,5571750455,5571750455, 2.5e-05, 2.60926e-05,13.1889, -nan
108,65.1299,15.6723,9.93842,1070315520,5588892599,5588892599, 2.3e-05, 2.60642e-05,13.3399, -nan
109,65.7237,15.8376,9.99205,1091471360,5628919230,5628919230, 2.3e-05, 2.60364e-05,13.439, -nan
110,68.2964,15.2415,10.0393,1091502080,5647847456,5647847456, 2.4e-05, 2.6018e-05,13.5872, -nan
111,64.933,16.0314,10.0928,1091532800,5665020822,5665020822, 2.4e-05, 2.6e-05,13.7387, -nan
112,62.8962,16.5524,10.15,1091655680,5681632633,5681632633, 2.1e-05, 2.59558e-05,13.8907, -nan
113,61.0847,17.0438,10.2105,1091686400,5698010284,5698010284, 2.5e-05, 2.59474e-05,14.0423, -nan
114,60.0255,17.345,10.2725,1091717120,5714531188,5714531188, 2.7e-05, 2.59565e-05,14.1928, -nan
115,55.5938,18.7286,10.3454,1091768320,5738416400,5738416400, 2.6e-05, 2.59569e-05,14.324, -nan
116,59.4862,17.5032,10.4066,1091778560,5755954210,5755954210, 2.4e-05, 2.59402e-05,14.47, -nan
117,51.5804,20.8289,10.4949,1126553600,5817090249,5817090249, 2.4e-05, 2.59237e-05,14.5116, -nan
118,59.5292,18.0477,10.5584,1126553600,5836789180,5836789180, 2.3e-05, 2.58992e-05,14.6556, -nan
119,57.0771,18.8237,10.6273,1126594560,5854350825,5854350825, 2.3e-05, 2.5875e-05,14.8041, -nan
120,56.2859,19.0894,10.6972,1126656000,5871112377,5871112377, 2.2e-05, 2.5843e-05,14.9537, -nan
121,56.4533,19.0335,10.7655,1126696960,5888321228,5888321228, 2.4e-05, 2.58279e-05,15.1014, -nan
122,55.2204,19.4588,10.8362,1126717440,5904707401,5904707401, 2.2e-05, 2.57967e-05,15.2503, -nan
123,54.1047,19.8602,10.909,1126727680,5920378302,5920378302, 2.8e-05, 2.58145e-05,15.4002, -nan
124,53.0766,20.2451,10.9837,1126737920,5939692648,5939692648, 2e-05, 2.5768e-05,15.5398, -nan
125,48.6681,22.2754,11.0733,1136762880,5993303638,5993303638, 2.9e-05, 2.57937e-05,15.5905, -nan
126,54.4694,19.9037,11.1428,1136803840,6012213142,6012213142, 2e-05, 2.5748e-05,15.7306, -nan
127,53.1735,20.3896,11.2151,1136855040,6029113154,6029113154, 2.4e-05, 2.57344e-05,15.875, -nan
128,50.471,21.4824,11.2946,1136906240,6046872520,6046872520, 2.1e-05, 2.56977e-05,16.0164, -nan
129,50.7141,21.38,11.3722,1136936960,6063793497,6063793497, 2.8e-05, 2.57154e-05,16.1592, -nan
130,50.6518,21.4071,11.4488,1136977920,6079576945,6079576945, 2e-05, 2.56718e-05,16.3043, -nan
131,48.9223,22.1645,11.53,1137008640,6095079854,6095079854, 2.7e-05, 2.56818e-05,16.4494, -nan
132,49.0957,22.0864,11.6094,1137018880,6114028131,6114028131, 2.3e-05, 2.56617e-05,16.5843, -nan
133,44.9777,24.4225,11.705,1151825920,6169988682,6169988682, 2.9e-05, 2.56866e-05,16.6206, -nan
134,49.6119,22.1422,11.7823,1151877120,6188910981,6188910981, 3.5e-05, 2.57556e-05,16.7559, -nan
135,49.542,22.1726,11.8587,1151836160,6206627942,6206627942, 2.9e-05, 2.57794e-05,16.8937, -nan
136,47.9716,22.8995,11.9393,1151887360,6223304892,6223304892, 2.8e-05, 2.57956e-05,17.0335, -nan
137,47.053,23.3478,12.022,1151948800,6239775628,6239775628, 3.8e-05, 2.58841e-05,17.1731, -nan
138,48.1487,22.8171,12.0996,1151979520,6255509184,6255509184, 3.2e-05, 2.59281e-05,17.3141, -nan
139,46.6378,23.5567,12.1815,1152000000,6271553947,6271553947, 2.9e-05, 2.595e-05,17.4535, -nan
140,46.1054,23.8292,12.2641,1152020480,6287041210,6287041210, 2.3e-05, 2.59291e-05,17.5937, -nan
141,44.929,24.4533,12.3499,1152030720,6305522871,6305522871, 2.1e-05, 2.58944e-05,17.7249, -nan
142,43.8228,25.2353,12.44,1159598080,6358507140,6358507140, 2.6e-05, 2.58951e-05,17.7595, -nan
143,46.9966,23.5327,12.5171,1159680000,6378170086,6378170086, 2.6e-05, 2.58958e-05,17.8866, -nan
144,45.7926,24.1529,12.5973,1159751680,6395868102,6395868102, 2.4e-05, 2.58828e-05,18.0184, -nan
145,44.8868,24.6408,12.6798,1159772160,6412624493,6412624493, 3.1e-05, 2.59178e-05,18.1522, -nan
146,45.2867,24.4236,12.7597,1159792640,6429354790,6429354790, 2.2e-05, 2.58912e-05,18.2854, -nan
147,44.7094,24.7396,12.8406,1159823360,6445857015,6445857015, 2.2e-05, 2.58649e-05,18.4185, -nan
148,44.1184,25.0717,12.9227,1159854080,6462036570,6462036570, 2.9e-05, 2.58859e-05,18.5519, -nan
149,43.9155,25.1888,13.0045,1159915520,6478434812,6478434812, 2.3e-05, 2.58667e-05,18.6839, -nan
150,43.9445,25.1722,13.0851,1159915520,6500202038,6500202038, 3e-05, 2.5894e-05,18.7998, -nan
151,42.6692,27.1577,13.1777,1215088640,6562588048,6562588048, 2.9e-05, 2.59145e-05,18.8063, -nan
152,46.9275,24.694,13.2529,1215119360,6584532667,6584532667, 3.1e-05, 2.59477e-05,18.9281, -nan
153,44.6582,25.9492,13.3354,1215139840,6604172683,6604172683, 2.2e-05, 2.59221e-05,19.0558, -nan
154,44.771,25.8843,13.4163,1215160320,6620609465,6620609465, 2.2e-05, 2.58968e-05,19.1921, -nan
155,44.6219,25.9714,13.4968,1215191040,6638098877,6638098877, 2.7e-05, 2.59038e-05,19.3246, -nan
156,43.9018,26.3982,13.579,1215221760,6654046923,6654046923, 2.8e-05, 2.59172e-05,19.4609, -nan
157,43.3775,26.7179,13.6621,1215252480,6670069293,6670069293, 2.2e-05, 2.58924e-05,19.5963, -nan
158,43.3516,26.7345,13.7444,1215283200,6689733237,6689733237, 3.6e-05, 2.5956e-05,19.7204, -nan
159,41.5825,29.1032,13.8404,1268971520,6754402235,6754402235, 2.5e-05, 2.595e-05,19.7194, -nan
160,45.7019,26.481,13.9189,1269022720,6773860473,6773860473, 3.8e-05, 2.60248e-05,19.8501, -nan
161,44.542,27.1713,14.0007,1269053440,6791467148,6791467148, 2.5e-05, 2.60185e-05,19.9855, -nan
162,43.8414,27.6068,14.0841,1269114880,6810397817,6810397817, 2.8e-05, 2.60307e-05,20.1163, -nan
