BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, SelectOptimalBaseTime(s)
56,294.101,1.00007,2.46675,308408320,1745179090,1745179090, 4.5e-05, 7.9e-05,12.0527, -nan
57,229.308,1.374,2.44791,330373120,1748935522,1748935522, 7.4e-05, 7.89138e-05,12.2157, -nan
58,225.887,1.3961,2.43008,330680320,1753390778,1753390778, 3.6e-05, 7.81864e-05,12.3732, -nan
59,233.549,1.34988,2.41208,330577920,1755948941,1755948941, 6.6e-05, 7.79833e-05,12.5435, -nan
60,234.072,1.34874,2.39465,331038720,1758759363,1758759363, 9.4e-05, 7.82459e-05,12.7117, -nan
61,223.685,1.4119,2.3788,331161600,1761189928,1761189928, 7.9e-05, 7.82581e-05,12.8821, -nan
62,113.357,3.31614,2.39368,394168320,1779039676,1779039676, 8e-05, 7.82857e-05,12.9745, -nan
63,119.285,3.16026,2.40566,395284480,1792912689,1792912689, 8e-05, 7.83125e-05,13.0945, -nan
64,119.428,3.31644,2.41967,415313920,1806423567,1806423567, 6.7e-05, 7.81385e-05,13.2265, -nan
65,109.096,3.61064,2.43771,413040640,1818854365,1818854365, 8.5e-05, 7.82424e-05,13.3632, -nan
66,425.851,0.690666,2.41164,308408320,1818872725,1818872725, 8.1e-05, 7.82836e-05,13.5326, -nan
67,242.42,1.57337,2.39931,399943680,1827515361,1827515361, 8.2e-05, 7.83382e-05,13.6875, -nan
68,118.645,3.15707,2.41029,392765440,1861563769,1861563769, 7.9e-05, 7.83478e-05,13.6481, -nan
69,221.401,1.70677,2.40024,396236800,1867010495,1867010495, 8.1e-05, 7.83857e-05,13.8205, -nan
70,425.147,0.691811,2.37618,308408320,1867020705,1867020705, 8.9e-05, 7.85352e-05,13.9856, -nan
71,90.1391,3.64356,2.39378,344381440,1984405593,1984405593, 7e-05, 7.84167e-05,13.3319, -nan
72,145.983,2.34951,2.39317,359649280,2033349578,2033349578, 6.3e-05, 7.82055e-05,13.1878, -nan
73,195.941,1.69141,2.38369,347514880,2058621228,2058621228, 2.6e-05, 7.75e-05,13.1948, -nan
74,333.475,0.99441,2.36517,347719680,2060949852,2060949852, 8.1e-05, 7.75467e-05,13.3486, -nan
75,199.31,1.66399,2.35594,347760640,2078959377,2078959377, 8.9e-05, 7.76974e-05,13.4002, -nan
76,234.689,1.41303,2.3437,347729920,2082798439,2082798439, 8.9e-05, 7.78442e-05,13.5425, -nan
77,163.218,2.10094,2.34058,359567360,2108620079,2108620079, 8.6e-05, 7.79487e-05,13.5472, -nan
78,278.396,1.23138,2.32654,359464960,2110892512,2110892512, 7.9e-05, 7.7962e-05,13.7029, -nan
79,155.689,2.20428,2.32502,359854080,2134684809,2134684809, 8.4e-05, 7.80375e-05,13.7187, -nan
80,232.16,1.47831,2.31456,359874560,2137343476,2137343476, 7.9e-05, 7.80494e-05,13.87, -nan
81,250.115,1.36968,2.30304,359219200,2142057792,2142057792, 6.4e-05, 7.7878e-05,14.0072, -nan
82,137.302,2.23874,2.30226,322314240,2195239506,2195239506, 3.1e-05, 7.73133e-05,13.8147, -nan
83,179.165,1.83872,2.29675,345436160,2218721019,2218721019, 8.6e-05, 7.74167e-05,13.8242, -nan
84,195.41,1.68361,2.28953,344975360,2236461843,2236461843, 7.1e-05, 7.73412e-05,13.8688, -nan
85,182.338,1.80757,2.28393,345600000,2254306782,2254306782, 6.9e-05, 7.72442e-05,13.9123, -nan
86,205.958,1.59402,2.276,344248320,2259657950,2259657950, 8.6e-05, 7.73448e-05,14.0317, -nan
87,233.076,1.40906,2.26615,344371200,2260878856,2260878856, 8.8e-05, 7.74659e-05,14.1764, -nan
88,409.976,0.836606,2.25008,359649280,2260891013,2260891013, 8e-05, 7.74944e-05,14.3354, -nan
89,288.761,1.19767,2.23839,362639360,2275530471,2275530471, 8.5e-05, 7.75778e-05,14.4026, -nan
90,297.32,1.16036,2.22654,361758720,2284249779,2284249779, 7e-05, 7.74945e-05,14.5059, -nan
91,313.461,1.10267,2.21433,362434560,2286850444,2286850444,0.000173, 7.85326e-05,14.6479, -nan
92,169.197,2.04372,2.21249,362588160,2306978832,2306978832, 8.2e-05, 7.85699e-05,14.6773, -nan
93,201.426,1.71642,2.20722,362526720,2310150620,2310150620, 7e-05, 7.84787e-05,14.8141, -nan
94,423.768,0.815645,2.19257,362434560,2310159210,2262921948,642.184,6.75991,15.2834,482.099
,,,,,,,,,,
,,´óÓÚ5000,0,,,,,,,
