BackupID, OnlineSpeed(MB/s), OnlineTime(s), AverageOnlineTime(s), BackupSize, OnlineSize, OfflineSize, OfflineTime(s), AverageOfflineTime(s), OverallReductionRatio, InlineBackupTime(ms), OfflineBackupTime(ms)
47, 164.84, 2.26137, 1.76541, 390871040, 1734103122, 1692243444, 85.3794, 24.4125, 10.614, 55.98, 221.666, 
48, 528.924, 0.545366, 1.74051, 302469120, 1692250995, 1692250995, 0.010514, 23.9145, 10.7927, 2.237, 511.073, 
49, 332.052, 1.13755, 1.72845, 396072960, 1709616859, 1705629834, 17.6244, 23.7887, 10.9402, 18.056, 6.812, 
50, 363.062, 1.03936, 1.71494, 395683840, 1715258739, 1710639020, 18.5437, 23.6859, 11.1395, 9.537, 166.148, 
51, 226.577, 1.73912, 1.71541, 413184000, 1748672622, 1745564346, 36.7328, 23.9368, 11.1533, 21.868, 180.93, 
52, 411.298, 0.773561, 1.69764, 333619200, 1753246730, 1748454465, 7.30792, 23.623, 11.3257, 17.977, 382.769, 
53, 403.709, 0.726055, 1.67965, 307353600, 1757814525, 1753493297, 6.61476, 23.3081, 11.4684, 2.326, 125.393, 
54, 381.641, 0.769345, 1.66309, 307875840, 1762077775, 1756988207, 6.47922, 23.0021, 11.6208, 11.263, 88.368, 
55, 441.421, 0.665376, 1.64528, 307978240, 1765192336, 1758996175, 8.07288, 22.7355, 11.7827, 4.583, 67.989, 
56, 449.17, 0.65481, 1.6279, 308408320, 1766737284, 1760600441, 7.03064, 22.46, 11.9471, 1.95, 92.2, 
57, 326.695, 0.964411, 1.61646, 330373120, 1772408397, 1764714607, 22.4876, 22.4604, 12.1065, 18.25, 59.434, 
58, 331.099, 0.952468, 1.60521, 330680320, 1776481810, 1769415021, 21.1186, 22.4377, 12.2612, 15.951, 242.467, 
59, 346.948, 0.908678, 1.5936, 330577920, 1780609482, 1771842236, 24.252, 22.4679, 12.431, 18.725, 172.226, 
60, 350.033, 0.901925, 1.58226, 331038720, 1781758352, 1774392976, 19.9986, 22.4275, 12.5997, 14.577, 157.71, 
61, 348.426, 0.906419, 1.57136, 331161600, 1784604992, 1776921862, 19.9089, 22.3868, 12.7681, 13.79, 120.688, 
62, 223.896, 1.67894, 1.57307, 394168320, 1812941030, 1792273342, 58.0698, 22.9532, 12.8787, 19.29, 141.986, 
63, 254.19, 1.48303, 1.57166, 395284480, 1822490258, 1804115130, 49.0975, 23.3617, 13.0132, 27.141, 478.025, 
64, 274.24, 1.44426, 1.5697, 415313920, 1834177588, 1816310015, 52.4174, 23.8088, 13.1545, 27.922, 295.378, 
65, 269.444, 1.46192, 1.56807, 413040640, 1846168700, 1827285659, 59.4601, 24.3489, 13.3015, 12.266, 311.016, 
66, 542.79, 0.541869, 1.55275, 308408320, 1827304312, 1827304312, 0.01819, 23.9858, 13.4702, 2.141, 348.495, 
67, 343.699, 1.10974, 1.54624, 399943680, 1842065794, 1835529940, 25.8501, 24.0132, 13.6277, 16.318, 6.887, 
68, 177.688, 2.10802, 1.55438, 392765440, 1900032703, 1869414430, 77.7947, 24.7926, 13.5908, 31.387, 294.035, 
69, 341.565, 1.10632, 1.54798, 396236800, 1879932734, 1874691943, 24.2389, 24.7847, 13.7639, 12.526, 594.851, 
70, 558.064, 0.527038, 1.5336, 308408320, 1874718598, 1874697467, 0.094478, 24.437, 13.9284, 2.212, 228.686, 
71, 124.065, 2.64723, 1.54906, 344381440, 1993529271, 1992288821, 4.09114, 24.1544, 13.2791, 66.842, 22.132, 
72, 195.507, 1.75435, 1.55188, 359649280, 2043571714, 2042055016, 2.90216, 23.8633, 13.1316, 33.771, 170.221, 
73, 260.691, 1.2713, 1.54809, 347514880, 2069951544, 2066650539, 2.99761, 23.5813, 13.1435, 19.546, 82.627, 
74, 443.708, 0.747364, 1.53741, 347719680, 2070766365, 2069541239, 0.881064, 23.2786, 13.2932, 6.31, 64.061, 
75, 273.046, 1.21463, 1.53316, 347760640, 2094312103, 2087670156, 5.40343, 23.0434, 13.3443, 23.954, 17.254, 
76, 342.422, 0.968456, 1.52583, 347729920, 2099944673, 2091113718, 9.32115, 22.8652, 13.4886, 21.112, 109.585, 
77, 240.714, 1.42456, 1.52453, 359567360, 2125633767, 2116860202, 8.74208, 22.6842, 13.4944, 29.64, 166.961, 
78, 401.292, 0.854272, 1.51605, 359464960, 2126031069, 2119958223, 5.5062, 22.4667, 13.6443, 13.313, 97.962, 
79, 235.439, 1.45763, 1.51532, 359854080, 2154149765, 2143689965, 13.1946, 22.3508, 13.6611, 26.778, 51.986, 
80, 328.276, 1.04547, 1.50951, 359874560, 2155235724, 2145474677, 10.9416, 22.21, 13.8175, 12.855, 141.332, 
81, 356.437, 0.961119, 1.50283, 359219200, 2160192123, 2150198404, 10.9506, 22.0726, 13.9542, 18.902, 100.631, 
82, 190.53, 1.6133, 1.50416, 322314240, 2207201775, 2203678133, 6.48251, 21.8848, 13.7618, 32.37, 75.55, 
83, 251.438, 1.3102, 1.50185, 345436160, 2235439389, 2227110514, 10.757, 21.7523, 13.7721, 25.198, 191.203, 
84, 272.399, 1.20776, 1.49839, 344975360, 2250681284, 2245018942, 7.44635, 21.584, 13.8159, 23.258, 151.642, 
