Backup ID,Backup Online Processtime(s),Online Load Times,Online Delta num,Online Size,Offline Size,Offline Delta times,Offline Decompress times,Offline Delete times,Logic chunk num,Unique chunk num,FpIndex size,SfIndex size,Localmap size,Coldmap size,Deltamap size,total logical size,offline_time,online_dedupReduce,online_lz4Reduce,online_deltaReduce,offlineDelta_diff,offlineDelta_sum,offlineReDelta_sum,offlineRelz4_sum,_sum_Delta_size,_sum_Lz4_size
0,23.7627,82,986,626364619,607887462,6764,766,119,598895,116850,9348000,20916928,385024,54707,304256,8588886016,32.9299,7577242754,375828102,9450541,-18477157,18477157,1386270,24228590,7435100,600452362
1,18.8008,139,1418,638453388,635849006,10230,2970,201,1197560,122453,9796240,21663488,466304,82837,383584,17177772032,13.3445,16109115380,398658923,13067184,-21081539,2604382,6908230,28963574,10886420,624962586
2,18.3588,202,1829,667835784,662461636,15672,6110,315,1796008,129193,10335440,22434176,613952,126943,514304,25766658048,20.5151,24626229913,434225686,17285126,-26455687,5374148,15021417,37916175,15370695,647090941
3,18.5711,237,2102,676429833,673682632,20972,10351,396,2394289,132218,10577440,22748992,684864,169732,568096,34355544064,15.3217,33181971849,451100468,19586227,-29202888,2747201,26470803,41907125,17563712,656118920
4,18.4638,289,2425,700476127,697326217,27122,15209,501,2992254,137183,10974640,23390080,767872,219457,636544,42944430080,18.6551,41719690099,473133421,21927545,-32352798,3149910,39990226,47371877,21125126,676201091
5,18.5362,338,2593,721239715,718057456,33998,20791,607,3590141,141681,11334480,23970432,851264,274979,698080,51533316096,22.2974,50261947521,494298686,23477376,-35535057,3182259,55711371,52525874,23636027,694421429
6,18.496,382,2849,744216427,741132452,41314,26864,719,4187832,146604,11728320,24609472,936384,334035,748608,60122202112,21.5215,58800648944,516044934,25756750,-38619032,3083975,73050630,57817198,26626387,714506065
7,18.6321,421,3212,779672359,775137837,50240,33968,856,4785201,153531,12282480,25518336,1053248,406120,837664,68711088128,23.5409,67317831644,546834081,28131012,-43153554,4534522,93826799,65938018,31946178,743191659
8,18.4459,452,3421,792901042,790531210,58675,41568,976,5382415,156743,12539440,25933888,1106880,474184,880960,77299974144,20.2167,75873466198,560880236,29573114,-45523386,2369832,117688266,69582458,34068329,756462881
9,18.6082,507,3644,834058326,829668018,69187,50141,1145,5979346,164425,13154000,26990912,1231680,559117,968768,85888860160,32.3654,84385714437,592279427,31284584,-49913694,4390308,143624788,78010734,38998360,790669658
